Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
משרד הבריאות,Health.gov.il,1.48E+14,287453,2020-02-01 22:00:34 EET,Photo,750,1092,1968,4,71,3,13,127,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2558713244240571,"אזהרה לציבור❗️ חברת ""סלטי שמיר"" מודיעה על איסוף מוצרים המיוצרים על ידה. במסגרת בדיקות האיכות השגרתיות שעורכת החברה במפעליה, התגלו מספר מוצרים עם חשד להימצאות חיידק ליסטריה מונוציטוגנס ,מוצרים אלו נחסמו טרם שיווקם ולא יצאו לשיווק. חיידק ליסטריה מונוציטוגנס עלול לגרום מחלה באוכלוסייה בסיכון גבוה, כגון בעלי מערכת חיסונית מוחלשת, קשישים או לגרום להפלות בנשים הרות. בדיקות נוספות שנעשו על ידי החברה על מוצרים אחרים מאותם ימי ייצור יצאו תקינות. כנוהל עבודה לא משווקת חברת שמיר מוצרים לשוק עד שלא קיבלה החברה אישור ממעבדה חיצונית על תקינות המוצרים וכך פעלה גם במקרה זה. יחד עם זאת, כחברה אחראית, החליטה חברת סלטי שמיר לאסוף מספר מוצרים מהשוק היות ויוצרו באותם ימים בהם עלה חשד להימצאות חיידק ליסטריה מונוציטוגנס במוצרים שנחסמו. במידה וקיים לקוח אשר מוצר המופיע ברשימה נמצא ברשותו, הוא מתבקש שלא לצרוך אותו ולפנות לחברה. החברה עדכנה את שירות המזון משרד הבריאות ועושה כמיטב יכולתה על מנת להימנע מתקלות מסוג זה ומתנצלת בפני לקוחותיה. לכל שאלה ,בירור ופניה, יש ליצור קשר עם שירות הלקוחות שלנו בטלפון 03-9067744 *באחת התמונות מצ״ב רשימת המוצרים הספציפיים אותם מבקשת החברה לאסוף*",https://www.facebook.com/Health.gov.il/photos/a.543605322418050/2558713014240594/?type=3,,,Photos from ‎משרד הבריאות‎'s post,,,,4.61
משרד הבריאות,Health.gov.il,1.48E+14,287869,2020-02-02 07:42:32 EET,Photo,659,216,693,4,11,4,4,4,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2559438844168011,"חזרתם מסין ב-14 ימים האחרונים? שימו לב להנחיות החדשות של משרד הבריאות לחוזרים מסין! גם אם אין כל סימני מחלה, ההנחיות תקפות למשך 14 ימי החזרה הראשונים (זמן דגירת נגיף הקורונה):",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2559432737501955/?type=3,,,,,,,1.83
משרד החינוך,edu.gov.il,1.12E+14,273448,2020-02-02 10:12:36 EET,Photo,32,3,9,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2874443659287071,"מורים יקרים, כבר נכנסתם למאגר פעולות המקדמות הוראה איכותית?? אנחנו יודעים שלא קיימת דרך אחת בלבד להוראה איכותית, כל צוות יכול להתאים את האופן שישרת צרכי ההקשר הספציפיים, התלמיד, הכיתה, בית הספר והקהילה. היכנסו ותיהנו מהמאגר בפורטל עובדי הוראה >> http://bit.ly/2GythxG:=:https://pop.education.gov.il/teaching-practices/",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2874442489287188/?type=3,,,,,,,-3.07
משרד הבריאות,Health.gov.il,1.48E+14,287869,2020-02-02 10:36:50 EET,Photo,202,149,36,2,1,3,4,22,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2559635627481666,"הבוקר, כמו כל יום בשבוע האחרון, התכנסה הנהלת המשרד לישיבה בנושא הקורונה. בהמשך להנחיות לבידוד בית של החוזרים מסין, הדגיש שר הבריאות יעקב ליצמן: ״אני קורא לציבור שחזר מסין להקפיד להישאר בבית, ולא להפר את הצו כדי לא לסכן את הציבור בישראל . לכולנו יש אחריות על בריאות הציבור וכולנו צריכים לקחת חלק במאמץ"".",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2559635627481666/?type=3,,,Timeline Photos,,,,-2.08
משרד האוצר,Israeli.Ministry.of.Finance,1.22E+14,45997,2020-02-02 14:59:14 EET,Photo,25,4,2,3,0,4,0,0,0,,0,0,0,N/A,https://www.facebook.com/Israeli.Ministry.of.Finance/posts/3772546192757358,דירוג האשראי של ישראל בשיא! חברת דירוג האשראי הבינלאומית S&P אישררה את דירוג האשראי של מדינת ישראל ברמת AA- השמירה העקבית מאז 2018 של דירוג השיא לכלכלת ישראל היא הבעת אמון בינלאומית חשובה בחוזקה של כלכלת ישראל.,https://www.facebook.com/Israeli.Ministry.of.Finance/photos/a.163541316991215/3772545776090733/?type=3,,‎'‎ש משרז האוצר דירוג האשראי של ישראל נותר בשיא! S&P קבעו AA-‎'‎,,,,,-1.68
משרד החינוך,edu.gov.il,1.12E+14,273448,2020-02-02 16:08:27 EET,Photo,35,0,4,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2881382255259878,"פרס ישראל יוצא לדרך!! ברכות לפרופ' דני זמיר זוכה פרס ישראל תש""ף בתחום חקר החקלאות, חקר מדעי הסביבה. 💐💐💐💐💐💐💐💐💐💐💐💐💐 בנימוקיה ציינה הוועדה כי: ""פרס ישראל בתחום חקר החקלאות, חקר מדעי הסביבה לשנת תש""ף מוענק לפרופ' דני זמיר על טיפוח והשבחה של זני עגבניות וגידולים אחרים. פרופ' זמיר פיתח אוכלוסייה של עגבניות תרבותיות שמכילות קטעי DNA ממני בר של עגבנייה המקנים עמידות לעקות כמו יובש ומלח ועמידות כנגד מחלות צמחים. פרופ' זמיר הינו חוקר מוביל בתחום, בעל הכרה בינלאומית ושיתופי פעולה בינלאומיים, הוא תרם ותורם רבות לחקלאות ישראל והעולם.""",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2881381445259959/?type=3,,,,,,,-3.38
משרד הביטחון,MODIsrael,3.84E+14,215071,2020-02-02 17:41:39 EET,Photo,189,80,70,2,2,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/MODIsrael/posts/2760619547310613,#job #in #berlin,https://www.facebook.com/MODIsrael/photos/a.478080698897854/2760619547310613/?type=3,,,Timeline Photos,,,,1.41
משרד החינוך,edu.gov.il,1.12E+14,273448,2020-02-02 19:32:27 EET,Photo,275,93,29,6,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2866525340078903,בהצלחה לכל התלמידים והתלמידות הניגשים מחר לבגרות באזרחות!,https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2866524253412345/?type=3,,,,,,,2.99
משרד החינוך,edu.gov.il,1.12E+14,273455,2020-02-03 09:40:54 EET,Native Video,98,14,81,2,0,0,0,0,0,crosspost,4934,6647,6883,00:00:25,https://www.facebook.com/edu.gov.il/posts/2882920105106093,"בישראל לא התגלה נגיף הקורונה, אולם זה עלול להתרחש בכל יום! אנחנו מצרפים את ההנחיות בנושא הגנה מנגיפים של משרד הבריאות. בריאות לכולם!",https://www.facebook.com/edu.gov.il/videos/994101480973704/,,,הגנה מנגיפים- נגיף הקורונה,,,,1.97
משרד החינוך,edu.gov.il,1.12E+14,273455,2020-02-03 11:55:00 EET,Native Video,102,35,128,3,0,0,0,0,0,crosspost,5364,8432,8920,00:00:59,https://www.facebook.com/edu.gov.il/posts/2882937235104380,"הורים יקרים לקראת ט""ו בשבט שימו ❤ ⛔ אסור לתת לילדים עד גיל חמש - אגוזים, שקדים, בוטנים, גרעינים ופיצוחים. ניתן לתת אגוזים ושקדים טחונים לפירורים אם המרקם חלק לגמרי ללא שברים. ⛔ פירות יבשים דביקים: עד גיל ארבע יש להגיש בחתיכות קטנות (לאחר הוצאת הגלעין אם יש). הפירות עלולים להיות דביקים ולהידבק לקנה הנשימה. יש להקפיד על אכילה בטוחה כולל חיתוך והשגחה על לעיסה. ⛔⛔תייגו הורים לקטנטנים שחושב לכם שהמידע יגיע אליהם! ⛔⛔ למידע נוסף על ט""ו בשבט בטוח >> http://bit.ly/30UuAA3:=:https://parents.education.gov.il/prhnet/parents/safety-emergency/tu-bishvat-safety-rules",https://www.facebook.com/edu.gov.il/videos/897151087408959/,,,השקדיה פורחת - נזהרים גם בצלחת!,,,,2.71
משרד האוצר,Israeli.Ministry.of.Finance,1.22E+14,46007,2020-02-03 16:56:44 EET,Native Video,33,3,12,0,0,0,0,0,0,original,1094,1502,0,00:00:10,https://www.facebook.com/Israeli.Ministry.of.Finance/posts/3758282857517025,"🤵 מה המשכורת של שגריר ישראלי באפריקה? 👮‍♂️ כמה מרוויח קצין משטרה? 👩🏻‍🏫 ומה השכר של מנהלת בית-ספר? כל התשובות מחר בדו""ח השכר במגזר הציבורי!",https://www.facebook.com/Israeli.Ministry.of.Finance/videos/180315219841616/,,,,,,,-3.56
משרד החינוך,edu.gov.il,1.12E+14,273455,2020-02-03 19:13:56 EET,Photo,95,19,4,18,1,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2874390245959079,"🚔🚔כבר ביקרתם בתחנת המשטרה 'גן רעות' בפתח תקווה?? 🚔🚔 לאחר שהילדים למדו על Israel Police - משטרת ישראל הם קודמו לדרגת רב פקד ובנו ניידת, תא מעצר, חיפשו חשודים וציירו קלסתרונים. אחרי שקיבלו קריאות, בדקו על מפת העיר איפה זקוקים להם ויצאו למשימות. אנחנו ישנים טוב הלילה!",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2874379549293482/?type=3,,,Photos from ‎משרד החינוך‎'s post,,,,1.01
משרד החינוך,edu.gov.il,1.12E+14,273455,2020-02-03 20:11:52 EET,Photo,42,2,1,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2883903431674427,"ברכות לזוכה פרס ישראל תש""ף בתחום חקר מדע המדינה, חקר מדעי הניהול, יחסים בינלאומיים - פרופ' אברהם בן צבי. 💐💐💐💐💐💐💐💐💐💐💐💐💐 בנימוקיה ציינה הוועדה כי: ""פרופ' אברהם בן צבי הוא מבכירי החוקרים בישראל ובעולם בתחום היחסים הבינלאומיים ועבודותיו מתמקדות ביחסי ישראל ארה""ב ובמדיניות החוץ של ישראל. לתחום זה חשיבות מכרעת על חוסנה של מדינת ישראל ועל מעמדה האסטרטגי ובטחונה בזירה הבינלאומית והאזורית. ספריו הרבים ועבודותיו המחקריות השפיעו על החשיבה של קובעי מדיניות והקימו דור של חוקרים צעירים ומוכשרים. בולטותו כבר סמכא בתחום זה הפכה אותו לדמות מרכזית המחברת בין העולם האקדמי לתחום קביעת מדיניות של ישראל והבנתה בעיני הציבור. על כל אלה מוענק פרס ישראל בתחום חקר מדע המדינה, יחסים בינלאומיים ומדעי הניהול."" צילום: יאיר אבן-זוהר",https://www.facebook.com/edu.gov.il/photos/a.570361026362024/2883903388341098/?type=3,,,,,,,-3
משרד החינוך,edu.gov.il,1.12E+14,273479,2020-02-04 09:12:00 EET,Native Video,210,23,59,31,3,0,0,0,0,original,6635,8115,0,00:04:22,https://www.facebook.com/edu.gov.il/posts/2883466921718078,"צפו בנאום המרגש של ליאל בלטה תלמידה מאשדוד שנאמה בכנס מיוחד של ישראלים נגד גזענות בבית הנשיא. ""אנחנו לא מוכנים לוותר, אנחנו הדור שמתעקש על מציאות מתוקנת וטובה יותר - תנו לנו את הצ'אנס הזה"". שתפו וחתמו עוד היום על האמנה נגד גזענות בחברה הישראלית >>> www.ilng.org.il:=:https://ilng.org.il/ צילום: גיתי סילבר",https://www.facebook.com/edu.gov.il/videos/760336944460124/,,,ליאל בלטה - נגד גזענות בחברה הישראלית,,,,3.29
משרד האוצר,Israeli.Ministry.of.Finance,1.22E+14,46018,2020-02-04 13:05:10 EET,Native Video,38,5,11,2,1,1,1,0,0,original,1307,1571,0,00:00:20,https://www.facebook.com/Israeli.Ministry.of.Finance/posts/3778673938811250,"מה השכר בצה""ל? כמה מרוויחים במשרד החוץ? כל מה שרציתם לדעת על השכר בשירות המדינה - בדו""ח המלא >> http://bit.ly/2SgTpCv:=:https://www.gov.il/BlobFolder/reports/salary_expenses_report_2018/he/Publishes_Reports_SalaryExpenses_Report2018-extended.pdf",https://www.facebook.com/Israeli.Ministry.of.Finance/videos/1611329349006154/,,,"דו""ח הממונה על השכר",,,,-2.93
משרד האוצר,Israeli.Ministry.of.Finance,1.22E+14,46018,2020-02-04 17:00:55 EET,Native Video,20,22,19,1,1,0,0,0,0,original,1908,2544,0,00:00:16,https://www.facebook.com/Israeli.Ministry.of.Finance/posts/3755514757793835,"כמה מרוויח שגריר באירופה? ועל כמה עומד השכר של שליח באסיה? צפו בסרטון וכנסו לדו""ח השכר המלא של אגף השכר והסכמי עבודה >> http://bit.ly/2SgTpCv:=:https://www.gov.il/BlobFolder/reports/salary_expenses_report_2018/he/Publishes_Reports_SalaryExpenses_Report2018-extended.pdf",https://www.facebook.com/Israeli.Ministry.of.Finance/videos/1451929708303839/,,,"כמה מרוויחים השגרירים בחו""ל?",,,,-2.75
משרד החינוך,edu.gov.il,1.12E+14,273479,2020-02-04 17:51:38 EET,Photo,33,9,1,2,0,0,0,5,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2885761984821905,"ברכות לרב יעקב אריאל זוכה פרס ישראל תש""ף בתחום ספרות תורנית. 💐💐💐💐💐💐💐💐💐💐💐💐💐 בנימוקיה ציינה הוועדה כי: ""הרב יעקב אריאל ראוי לקבל את פרס ישראל בתחום הספרות התורנית על היקף היצירה התורנית שיש בה מגוון נושאים בארבעת חלקי שולחן ערוך. הלכות היחיד והציבור, האיש והאישה, מצוות התלויות בארץ וכן בתחומי הגות ופרשנות. תרומתו של הרב יעקב אריאל ליצירה התורנית מעבר להיקפה הרחב ניכרת בהיותה פסיקת הלכה למעשה בחיים המודרניים"". קרדיט צילום: ציון יהודה.",https://www.facebook.com/edu.gov.il/photos/a.570361026362024/2885761848155252/?type=3,,,,,,,-2.7
משרד החינוך,edu.gov.il,1.12E+14,273479,2020-02-04 20:13:53 EET,Photo,66,0,9,5,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2881508858580551,"עוד מחזור של גולשים אמיצים מסיים את תוכנית ""מגדלור"" של ""הגל שלי"". השנה תלמידי שכבות ח' ט' הפגינו התקדמות בגלישה מקצועית וכמובן ביחסם לבית הספר והסביבה. אורט מלטון - בית הספר המתקדם ביותר בבת ים",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2881494905248613/?type=3,,,Photos from ‎משרד החינוך‎'s post,,,,-1.69
משרד החינוך,edu.gov.il,1.12E+14,273491,2020-02-05 08:51:51 EET,Photo,20,0,8,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2887051741359596,משרד החינוך מקדם את שבוע הגלישה הבטוחה ברשת 2020. אתם מוזמנים להצטרף ולהוסיף את המסגרת לתמונת הפרופיל שלכם.,https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2887043941360376/?type=3,,,,,,,-4.82
משרד הביטחון,MODIsrael,3.84E+14,215214,2020-02-05 14:30:24 EET,Photo,106,2,7,2,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/MODIsrael/posts/2766314083407826,"אגף סיבט חנך היום את המתחם הלאומי בתערוכת DEFEXPO בהודו, ומקיים לצידה גם סמינר משותף עם משרד ההגנה ההודי, בנושא חדשנות ודיגיטציה בצבא. תשע תעשיות ביטחוניות ישראליות מציגות בתערוכה מערכות לחימה וטכנולוגיה ייחודיות ליבשה.",https://www.facebook.com/MODIsrael/photos/a.596717413700848/2766313923407842/?type=3,,,Photos from ‎משרד הביטחון‎'s post,,,,-2.08
משרד הבריאות,Health.gov.il,1.48E+14,289173,2020-02-05 16:13:15 EET,Photo,195,39,440,2,4,0,5,24,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2565877253524170,"אזהרה לציבור❗️ הודעה לצרכני עוגה במילוי קרם בטעם קוקוס מצופה בשוקולד חלב עם שבבי קוקוס האלרגיים לסויה עקב טעות סופר נשמט כיתוב הרכיב קמח סויה מרשימת הרכיבים ע""ג אריזת המוצר רולדת שוקולד קוקוס של חברת ""עלית"". (ברקוד: 7290008754682 אריזת 350 גרם, המסומנים בתאריך ""עדיף להשתמש לפני2020 03 MAR 25"" ו ""עדיף להשתמש לפני 2020 03 MAR 26"" ). למען הסר ספק, המוצר מכיל קמח סויה ואזהרת האלרגנים הרשומה מסומנת נכון וכוללת את הכיתוב ""מכיל – סויה"". צרכנים אלרגיים לאחד מהרכיבים הרשומים באזהרת האלרגנים ולסויה מתבקשים שלא לצרוך את המוצר, לצרכנים שאינם אלרגיים המוצר בטוח לצריכה. חברת שטראוס מתנצלת בפני ציבור לקוחותיה ופועלת לאיסוף המוצרים מהמדפים. לבירורים ניתן לפנות באמצעות שירות הצרכנים של שטראוס בטלפון 6860* או באמצעות ""צור קשר"" באתר www.strauss-group.co.il/service",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2565876056857623/?type=3,,,,,,,-1.23
משרד האוצר,Israeli.Ministry.of.Finance,1.22E+14,46035,2020-02-05 16:48:04 EET,Native Video,15,2,6,0,0,0,0,0,0,original,865,881,0,00:00:16,https://www.facebook.com/Israeli.Ministry.of.Finance/posts/3782175328461111,"בכמה זינק שכר הרופאים? ואיזה גידול נרשם במספר הרופאים ב-5 השנים האחרונות? צפו בסרטון והיכנסו לדו""ח השכר המלא של אגף השכר והסכמי עבודה >> http://bit.ly/2SgTpCv:=:https://www.gov.il/BlobFolder/reports/salary_expenses_report_2018/he/Publishes_Reports_SalaryExpenses_Report2018-extended.pdf",https://www.facebook.com/Israeli.Ministry.of.Finance/videos/2253447168091508/,,,,,,,-7.52
משרד החינוך,edu.gov.il,1.12E+14,273491,2020-02-05 19:23:57 EET,Photo,416,263,26,15,0,0,4,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2866534643411306,בהצלחה לכל התלמידים והתלמידות הניגשים מחר לבגרות בהיסטוריה!,https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2866526133412157/?type=3,,,,,,,5.36
משרד החינוך,edu.gov.il,1.12E+14,273513,2020-02-06 10:26:00 EET,Native Video,47,8,36,2,0,0,0,0,0,crosspost,1897,2554,2823,00:00:28,https://www.facebook.com/edu.gov.il/posts/2881302981934472,"בשבוע הבא מערכת החינוך מציינת את שבוע הגלישה הבטוחה בסימן: סוף שיתוף במחשבה תחילה. מוזמנים להצטרף למגוון רחב של שיעורים חשובים של @אקדמיה ברשת, בנושא חיזוק נורמות וערכים של גלישה בטוחה וראויה ובבטיחות בעת השימוש ברשת. התלמידים יוכלו לרכוש כלים לשמירה על הפרטיות, לצד ידע ומיומנויות להתמודדות במקרה של פגיעה. למידע והרשמה: https://bit.ly/2RjQnht:=:https://pop.education.gov.il/sherutey-tiksuv-bachinuch/academya-bareshet/sdarot/glish-betoha-sidra/",https://www.facebook.com/edu.gov.il/videos/169054444537013/,,,שבוע גלישה בטוחה ברשת,,,,-1.06
משרד החינוך,edu.gov.il,1.12E+14,273513,2020-02-06 19:37:40 EET,Native Video,303,18,10,47,5,0,0,0,0,crosspost,8012,8405,8965,00:02:01,https://www.facebook.com/edu.gov.il/posts/2887528541311916,"תלמידי כיתה ד' מבית הספר ""ארלוזרוב"" ממחוז חיפה - משרד החינוך, הגיעו לבית הספר בשירה וריקודים לכבוד חגיגת יום ההולדת של יוסי המאבטח. יוסי התרגש מאוד מהתלמידים שהפתיעו אותו עם עוגה, בלונים והמון אהבה! כל הכבוד לתלמידים המקסימים!! 🎊🎉",https://www.facebook.com/edu.gov.il/videos/126315931980704/,,,יום הולדת ליוסי המאבטח,,,,3.87
משרד הביטחון,MODIsrael,3.84E+14,215316,2020-02-07 10:39:50 EET,Photo,157,4,20,12,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/MODIsrael/posts/2770086023030632,"כשבן גוריון ופולה נטעו שתילים בשדה בוקר: מסע נוסטלגי לנטיעות של פעם לקראת ט״ו בשבט ארכיון צה""ל ומערכת הביטחון",https://www.facebook.com/MODIsrael/photos/a.478080698897854/2770080023031232/?type=3,,,Photos from ‎משרד הביטחון‎'s post,,,,-1.26
משרד הביטחון,MODIsrael,3.84E+14,215380,2020-02-08 17:00:00 EET,Native Video,139,5,19,10,1,0,0,0,0,original,3597,3735,0,00:01:02,https://www.facebook.com/MODIsrael/posts/2768620796510488,קבלו הצצה למתחם הלאומי של ישראל בתערוכת DEFEXPO הודו. #סיבט,https://www.facebook.com/MODIsrael/videos/177824573535757/,,,תערוכת סיבט בהודו,,,,-2.13
משרד החינוך,edu.gov.il,1.12E+14,273540,2020-02-08 19:37:47 EET,Photo,22,1,0,0,1,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2889571341107636,"לקראת שבוע הגלישה הבטוחה שיחול השבוע, מזמינים אתכם להצטרף לשידור של אקדמיה ברשת - משרד החינוך עם המטה הלאומי להגנה על ילדים ברשת - 105. שיתוף תמונות וסרטונים מחייבים הפעלת שיקול דעת, בשידור יקבלו התלמידים ידע וכלים לשמירה על פרטיות ברשת. השידור יתקיים ביום ראשון י""ד בשבט, 9 בפברואר בשעה 8:50. למידע והרשמה >> http://bit.ly/2vW20mD:=:https://pop.education.gov.il/sherutey-tiksuv-bachinuch/academya-bareshet/kol-hashidurim/like-privecy-hebrew/",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2889544661110304/?type=3,,,Photos from ‎משרד החינוך‎'s post,,,,-5.62
משרד החינוך,edu.gov.il,1.12E+14,273551,2020-02-09 09:48:00 EET,Native Video,26,0,11,1,0,0,0,0,0,crosspost,1739,1994,2487,00:00:36,https://www.facebook.com/edu.gov.il/posts/2885148851549885,"חושבים שאתם יודעים הכל על סייבר ואבטחת מידע? הצטרפו לשעשועון הסייבר של אקדמיה ברשת - משרד החינוך! ביום הגלישה הבטוחה תתקיים תחרות אינטראקטיבית בשידור חי עם טל מוסרי. התלמידים ילמדו איך לזהות זיופים ברשת, למה לשים לב כשמורידים אפליקציה לנייד, ואיך יוצרים סיסמה חזקה. השידור יתקיים ביום שלישי ט""ז בשבט, 11 בפברואר, בשעה 11:00. למידע והרשמה: https://bit.ly/2TInihu:=:https://pop.education.gov.il/sherutey-tiksuv-bachinuch/academya-bareshet/kol-hashidurim/civer-etgari-hamachar/",https://www.facebook.com/edu.gov.il/videos/225605625139076/,,,שעשועון הסייבר - גלישה בטוחה ברשת!,,,,-2.61
משרד הביטחון,MODIsrael,3.84E+14,215441,2020-02-09 13:06:50 EET,Native Video,2581,134,205,80,25,2,0,1,0,original,162430,168021,0,00:00:34,https://www.facebook.com/MODIsrael/posts/2774593095913258,"20 טונות פלדה, 34 מחשבים ו-750 כוחות סוס: הנגמ""ש הגלגלי הראשון עולה על פס הייצור. #איתן #מנתק",https://www.facebook.com/MODIsrael/videos/204442890609261/,,,"עידן ה""איתן"" יוצא לדרך",,,,7.86
משרד הבריאות,Health.gov.il,1.48E+14,289887,2020-02-09 15:47:43 EET,Native Video,2622,374,1477,34,17,10,7,6,0,original,548486,564289,0,00:01:00,https://www.facebook.com/Health.gov.il/posts/2573640606081168,צפו כיצד ניתן להימנע מהידבקות בנגיף הקורונה ושתפו 👇🏼,https://www.facebook.com/Health.gov.il/videos/2501972096719369/,,,,,,,6.93
משרד הבריאות,Health.gov.il,1.48E+14,289887,2020-02-09 15:59:37 EET,Photo,117,26,47,13,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2573661262745769,ושוב איתנו... גל הקור ❄ בדקו שגם הפעם סבתא וסבא ערוכים אליו לפי ההמלצות 👇🏼 http://bit.ly/31Ex9Xk,https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2573661202745775/?type=3,,,,,,,-4.3
משרד החינוך,edu.gov.il,1.12E+14,273551,2020-02-09 16:47:08 EET,Native Video,23,0,4,2,0,0,0,0,0,crosspost,378,383,489,00:00:08,https://www.facebook.com/edu.gov.il/posts/2881457555252348,"בבתי ספר רבים כבר החלו בחלוקת תעודות המחצית וההתרגשות באוויר. כדי לסייע לכם ההורים כיצד להתנהל מול ילדיכם עם קבלת התעודות, פנינו אל השירות הפסיכולוגי ייעוצי - שפ""י, משרד החינוך שנתנו לנו ולכם מספר עצות: https://bit.ly/2DB2oJu:=:https://parents.education.gov.il/prhnet/parents/examnations/document",https://www.facebook.com/edu.gov.il/videos/614109659403291/,,,טיפים להורים לפני חלוקת התעודות,,,,-3.41
משרד החינוך,edu.gov.il,1.12E+14,273551,2020-02-09 19:56:11 EET,Link,41,1,13,2,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2887518664646237,"חושבים שאתם יודעים הכל על העצים שלנו?? 🌳🌲🌳🌲🌳 היכנסו לחידון המיוחד שהכנו עבורכם לכבוד ט""ו בשבט והשאירו אותנו ירוקים מקנאה! http://bit.ly/381iZC3:=:https://app.ex.co/stories/ronisn10/2020-02-02t08-25-50-714z-",https://app.ex.co/stories/ronisn10/2020-02-02t08-25-50-714z-,,,חוגגים יום הולדת לאילנות,,,,-2.18
משרד החינוך,edu.gov.il,1.12E+14,273562,2020-02-10 10:23:00 EET,Native Video,80,7,51,1,2,0,26,0,0,crosspost,3730,4381,4973,00:01:05,https://www.facebook.com/edu.gov.il/posts/2895976970467073,"מכבדים גם ברשת! לכבוד שבוע הגלישה הבטוחה, בבית הספר היסודי ערמונים ברמת גן מחוז תל אביב - משרד החינוך, הכינו התלמידים סרטון מקסים עם מסר חשוב!",https://www.facebook.com/edu.gov.il/videos/187421129161094/,,,שבוע גלישה בטוחה ברשת 2020,,,,1.69
משרד האוצר,Israeli.Ministry.of.Finance,1.22E+14,46053,2020-02-10 13:56:50 EET,Photo,21,0,4,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/Israeli.Ministry.of.Finance/posts/3798731653472145,"צְמִיחָה כַּלְכָּלִית 🌱 מה המשמעות שלה בפועל? צמיחה כלכלית מבטאת עליה בפעילות הכלכלית של המשק שבאה לידי ביטוי בגידול בתל""ג. אם נחלק את גובה הצמיחה הכלכלית במספר התושבים במדינה, נקבל את שיעור הצמיחה לנפש. כך, ניתן להשוות בין הצמיחה הכלכלית היחסית של מדינות שונות. 🌳 ט""ו בשבט שמח ופורח! 🌳 #אוצר_מילים",https://www.facebook.com/Israeli.Ministry.of.Finance/photos/a.3798886880123289/3798731486805495/?type=3,,,,,,,-2.54
משרד הביטחון,MODIsrael,3.84E+14,215516,2020-02-10 15:00:00 EET,Native Video,509,268,187,6,23,0,143,6,0,original,23171,35512,0,00:01:19,https://www.facebook.com/MODIsrael/posts/2776764909029410,"נפרדים מ""שדה דב"": תיעוד הפינוי של שדה התעופה המיתולוגי. צפו #אמון #אגףהנדסהובינוי",https://www.facebook.com/MODIsrael/videos/710347766562560/,,,פיסת היסטוריה,,,,3.08
